idx,kind,claim_id,vid,p_entail,p_neutral,p_contra,S_x
7,paraphrase,-1,64,0.7517752,0.051359177,0.19686559,0.5549096
7,translate,-1,65,0.054864485,0.054464113,0.89067143,-0.83580697
7,polarity,-1,66,0.855388,0.028508095,0.11610383,0.73928416
7,vocab,-1,67,0.90894955,0.010602796,0.080447674,0.8285019
7,cat,-1,68,0.59012973,0.08988279,0.31998745,0.2701423
7,shuffle,-1,69,0.60791755,0.20749104,0.1845914,0.42332613
7,unrelated,216,70,0.95004386,0.043787993,0.006168149,0.94387573
7,unrelated_token,216,71,0.9520624,0.042004682,0.0059328554,0.94612956
8,orig,-1,72,0.86091655,0.12342267,0.015660815,0.84525573
8,paraphrase,-1,73,0.8950256,0.08373957,0.021234803,0.8737908
8,translate,-1,74,0.76351297,0.18314108,0.053345907,0.71016705
8,polarity,-1,75,0.99174714,0.006708494,0.0015443829,0.9902028
8,vocab,-1,76,0.69470817,0.06367827,0.24161352,0.45309466
8,cat,-1,77,0.8570962,0.12642,0.016483802,0.8406124
8,shuffle,-1,78,0.88678515,0.08409019,0.029124713,0.8576604
8,unrelated,205,79,0.1078133,0.8788164,0.013370211,0.09444309
8,unrelated_token,205,80,0.095326826,0.8888934,0.015779749,0.07954708
9,orig,-1,81,0.9826397,0.013026691,0.0043336684,0.978306
9,paraphrase,-1,82,0.9750181,0.020305138,0.0046767914,0.97034127
9,translate,-1,83,0.95147425,0.02573009,0.022795597,0.92867863
9,polarity,-1,84,0.989465,0.008636121,0.0018989574,0.98756605
9,vocab,-1,85,0.8383727,0.13024303,0.03138426,0.8069885
9,cat,-1,86,0.9812726,0.0147406375,0.003986808,0.97728574
9,shuffle,-1,87,0.00069086876,0.99783224,0.001476922,-0.0007860532
9,unrelated,68,88,0.06408144,0.25898266,0.6769359,-0.6128545
9,unrelated_token,68,89,0.13248764,0.38336572,0.48414668,-0.35165906
10,orig,-1,90,0.903881,0.043916218,0.052202754,0.85167825
10,paraphrase,-1,91,0.7470263,0.16526587,0.08770778,0.65931857
10,translate,-1,92,0.5251119,0.24351506,0.23137304,0.29373887
10,polarity,-1,93,0.93154746,0.031076642,0.037375927,0.89417154
10,vocab,-1,94,0.93891054,0.018485485,0.04260394,0.89630663
10,cat,-1,95,0.841416,0.122541584,0.03604238,0.8053736
10,shuffle,-1,96,0.92952335,0.027445741,0.043030884,0.8864925
10,unrelated,26,97,0.16102897,0.79179037,0.047180664,0.1138483
10,unrelated_token,26,98,0.15243448,0.7961686,0.051396836,0.10103765
11,orig,-1,99,0.40888473,0.025372053,0.56574327,-0.15685853
11,paraphrase,-1,100,0.84955233,0.07614201,0.07430559,0.77524674
11,translate,-1,101,0.41054356,0.4321409,0.15731554,0.253228
11,polarity,-1,102,0.9968258,0.0019699605,0.0012042128,0.9956216
11,vocab,-1,103,0.98892444,0.0053593596,0.005716162,0.9832083
11,cat,-1,104,0.20648926,0.02293111,0.77057964,-0.5640904
11,shuffle,-1,105,0.4083536,0.027465064,0.5641813,-0.15582773
11,unrelated,67,106,0.9772768,0.007796814,0.014926368,0.9623504
11,unrelated_token,67,107,0.97492015,0.014531243,0.01054855,0.9643716
12,orig,-1,108,0.11185262,0.86752474,0.020622574,0.09123005
12,paraphrase,-1,109,0.30569947,0.6602523,0.034048233,0.27165124
12,translate,-1,110,0.13801296,0.84067225,0.021314705,0.11669826
12,polarity,-1,111,0.696299,0.22618629,0.07751463,0.61878437
12,vocab,-1,112,0.38476384,0.47837892,0.13685724,0.2479066
12,cat,-1,113,0.14990613,0.81221706,0.037876766,0.11202936
12,shuffle,-1,114,0.3931708,0.58220476,0.024624363,0.36854643
12,unrelated,59,115,0.07360217,0.8618866,0.06451118,0.00909099
12,unrelated_token,59,116,0.072033376,0.83940727,0.088559315,-0.01652594
13,orig,-1,117,0.32379955,0.10044319,0.57575727,-0.2519577
13,paraphrase,-1,118,0.42710802,0.19129454,0.3815974,0.04551062
13,translate,-1,119,0.07696115,0.0813666,0.84167224,-0.7647111
13,polarity,-1,120,0.9050991,0.033097267,0.06180365,0.84329545
13,vocab,-1,121,0.1078663,0.07660079,0.81553286,-0.7076666
13,cat,-1,122,0.70645785,0.07772931,0.21581283,0.49064502
13,shuffle,-1,123,0.547962,0.415648,0.03638993,0.51157206
13,unrelated,206,124,0.3694201,0.58488023,0.045699652,0.32372046
13,unrelated_token,206,125,0.3682118,0.57547253,0.05631566,0.31189615
14,orig,-1,126,0.025580773,0.964139,0.010280201,0.015300572
14,paraphrase,-1,127,0.030328318,0.950422,0.019249633,0.0110786855
14,translate,-1,128,0.01917048,0.9699065,0.010923011,0.008247469
14,polarity,-1,129,0.39984623,0.5649759,0.035177827,0.3646684
14,vocab,-1,130,0.057503838,0.65938324,0.28311294,-0.22560911
14,cat,-1,131,0.053198177,0.76288706,0.18391472,-0.13071655
14,shuffle,-1,132,0.7049169,0.24549346,0.049589694,0.6553272
14,unrelated,168,133,0.0037288573,0.089180484,0.9070906,-0.90336174
14,unrelated_token,168,134,0.0023845416,0.04683031,0.95078516,-0.9484006
15,orig,-1,135,0.9601328,0.026631923,0.013235358,0.94689745
15,paraphrase,-1,136,0.7693444,0.22443926,0.006216327,0.76312804
15,translate,-1,137,0.21604006,0.7795111,0.0044488753,0.21159118
15,polarity,-1,138,0.9866106,0.011879828,0.0015096131,0.985101
15,vocab,-1,139,0.007484503,0.0074407775,0.98507476,-0.97759026
15,cat,-1,140,0.9670396,0.020727597,0.012232818,0.95480675
15,shuffle,-1,141,0.9784379,0.007768054,0.013794067,0.96464384
15,unrelated,186,142,0.036881577,0.95026,0.01285845,0.024023127
15,unrelated_token,186,143,0.101432316,0.87634844,0.022219252,0.07921307
16,orig,-1,144,0.084605195,0.9008621,0.014532668,0.070072524
16,paraphrase,-1,145,0.12474959,0.8522486,0.023001827,0.101747766
16,translate,-1,146,0.09576884,0.8952115,0.009019635,0.0867492
16,polarity,-1,147,0.21194878,0.78021324,0.007837982,0.2041108
16,vocab,-1,148,0.31378266,0.6498411,0.036376227,0.27740642
16,cat,-1,149,0.07612301,0.9061069,0.01777009,0.058352917
16,shuffle,-1,150,0.36314392,0.592326,0.04453015,0.31861377
16,unrelated,247,151,0.9188446,0.07156647,0.009589004,0.90925556
16,unrelated_token,247,152,0.919497,0.070446745,0.010056324,0.9094407
17,orig,-1,153,0.14648709,0.17847474,0.6750382,-0.5285511
17,paraphrase,-1,154,0.17566161,0.2581258,0.5662126,-0.39055097
17,translate,-1,155,0.07036073,0.41979566,0.50984365,-0.43948293
17,polarity,-1,156,0.39370608,0.49093303,0.115360916,0.27834517
17,vocab,-1,157,0.30947402,0.21041271,0.48011327,-0.17063925
17,cat,-1,158,0.21178678,0.11810754,0.6701057,-0.45831892
17,shuffle,-1,159,0.08087303,0.036398977,0.88272804,-0.801855
17,unrelated,105,160,0.013982149,0.31560165,0.6704162,-0.656434
17,unrelated_token,105,161,0.017667059,0.32325453,0.65907836,-0.6414113
18,orig,-1,162,0.1683577,0.10867337,0.72296894,-0.5546112
18,paraphrase,-1,163,0.07404227,0.03878958,0.88716817,-0.8131259
18,translate,-1,164,0.0048551625,0.005421617,0.9897232,-0.98486805
18,polarity,-1,165,0.30966192,0.04083756,0.6495006,-0.33983868
18,vocab,-1,166,0.002727093,0.0013928628,0.99588,-0.9931529
18,cat,-1,167,0.2887673,0.1483501,0.5628826,-0.2741153
18,shuffle,-1,168,0.6102351,0.04189361,0.3478713,0.2623638
18,unrelated,215,169,0.9251868,0.071534604,0.0032786035,0.9219082
18,unrelated_token,215,170,0.93842876,0.056760922,0.004810348,0.9336184
19,orig,-1,171,0.98010695,0.010625402,0.00926764,0.9708393
19,paraphrase,-1,172,0.7426112,0.13663343,0.12075532,0.6218559
19,translate,-1,173,0.37806705,0.473046,0.14888687,0.22918017
19,polarity,-1,174,0.9716915,0.018148169,0.010160336,0.96153116
19,vocab,-1,175,0.81748194,0.02671781,0.15580028,0.66168165
19,cat,-1,176,0.9840184,0.008706809,0.007274812,0.9767436
19,shuffle,-1,177,0.9794677,0.012091202,0.008441019,0.97102666
19,unrelated,240,178,0.6494266,0.32863158,0.021941824,0.62748474
19,unrelated_token,240,179,0.41244915,0.57151157,0.01603931,0.39640984
20,orig,-1,180,0.87604207,0.006407347,0.117550634,0.75849146
20,paraphrase,-1,181,0.7107414,0.013094183,0.27616438,0.43457702
20,translate,-1,182,0.8359262,0.006470233,0.15760364,0.67832255
20,polarity,-1,183,0.98956925,0.0038664928,0.006564292,0.9830049
20,vocab,-1,184,0.15444168,0.008817863,0.83674043,-0.6822988
20,cat,-1,185,0.9390006,0.0045839017,0.05641547,0.88258517
20,shuffle,-1,186,0.8856681,0.005727772,0.108604126,0.77706397
20,unrelated,58,187,0.9613031,0.007155628,0.03154129,0.9297618
20,unrelated_token,58,188,0.9590492,0.007779478,0.033171285,0.9258779
21,orig,-1,189,0.99475443,0.0025242234,0.0027213518,0.99203306
21,paraphrase,-1,190,0.99596524,0.0022390601,0.0017956247,0.9941696
21,translate,-1,191,0.99027455,0.0050169695,0.004708406,0.98556614
21,polarity,-1,192,0.87657565,0.0061176578,0.11730677,0.7592689
21,vocab,-1,193,0.96948516,0.0048924964,0.025622334,0.94386286
21,cat,-1,194,0.99349546,0.003664495,0.0028400102,0.9906555
21,shuffle,-1,195,0.9740296,0.021206193,0.0047641983,0.9692654
21,unrelated,251,196,0.9814187,0.009734906,0.008846438,0.97257227
21,unrelated_token,251,197,0.97068393,0.020999629,0.008316449,0.9623675
22,orig,-1,198,0.946439,0.024445755,0.029115224,0.9173238
22,paraphrase,-1,199,0.8692339,0.10378984,0.026976226,0.8422577
22,translate,-1,200,0.5611916,0.40204594,0.036762435,0.5244292
22,polarity,-1,201,0.93363947,0.046211608,0.020148966,0.9134905
22,vocab,-1,202,0.9368757,0.023615107,0.03950926,0.89736646
22,cat,-1,203,0.9391663,0.027220678,0.033613052,0.9055533
22,shuffle,-1,204,0.7820607,0.12723227,0.09070708,0.6913536
22,unrelated,130,205,0.07909291,0.8355124,0.08539465,-0.0063017383
22,unrelated_token,130,206,0.03237559,0.90106416,0.06656025,-0.034184664
23,orig,-1,207,0.61022484,0.19981109,0.18996412,0.42026073
23,paraphrase,-1,208,0.6960852,0.07000713,0.23390765,0.46217757
23,translate,-1,209,0.7282999,0.15158293,0.120117076,0.60818285
23,polarity,-1,210,0.9647918,0.024117736,0.011090535,0.95370126
23,vocab,-1,211,0.872161,0.041272346,0.08656672,0.7855942
23,cat,-1,212,0.65877503,0.16836333,0.17286162,0.4859134
23,shuffle,-1,213,0.8491696,0.07333517,0.077495195,0.7716744
23,unrelated,112,214,0.09399505,0.8842123,0.021792639,0.072202414
23,unrelated_token,112,215,0.11095279,0.87446415,0.014583071,0.09636971
24,orig,-1,216,0.23741902,0.6988363,0.06374465,0.17367437
24,paraphrase,-1,217,0.98147786,0.012985901,0.0055362927,0.97594154
24,translate,-1,218,0.86001486,0.1063115,0.03367364,0.8263412
24,polarity,-1,219,0.948521,0.04587183,0.005607161,0.94291383
24,vocab,-1,220,0.5994978,0.037952166,0.36255005,0.23694775
24,cat,-1,221,0.23163743,0.6913939,0.07696858,0.15466885
24,shuffle,-1,222,0.4179158,0.51605713,0.06602709,0.35188872
24,unrelated,84,223,0.25132266,0.72033477,0.028342558,0.2229801
24,unrelated_token,84,224,0.25050128,0.7262666,0.023232086,0.22726919
25,orig,-1,225,0.95671463,0.022898773,0.02038649,0.9363281
25,paraphrase,-1,226,0.91710186,0.04264283,0.040255312,0.87684655
25,translate,-1,227,0.9898622,0.0062777954,0.0038600906,0.9860021
25,polarity,-1,228,0.98893225,0.0045395903,0.0065281135,0.9824041
25,vocab,-1,229,0.281358,0.046166517,0.6724755,-0.3911175
25,cat,-1,230,0.9633054,0.014886408,0.021808168,0.94149727
25,shuffle,-1,231,0.93152004,0.024463184,0.04401681,0.88750327
25,unrelated,147,232,0.9765499,0.014569755,0.008880259,0.96766967
25,unrelated_token,147,233,0.97400767,0.018805578,0.007186753,0.9668209
26,orig,-1,234,0.41247535,0.47836295,0.10916175,0.3033136
26,paraphrase,-1,235,0.3871922,0.46784177,0.14496602,0.24222617
26,translate,-1,236,0.12276062,0.8238965,0.053342864,0.06941776
26,polarity,-1,237,0.6077675,0.32160297,0.07062956,0.537138
26,vocab,-1,238,0.4053809,0.40577698,0.18884207,0.21653883
26,cat,-1,239,0.32952064,0.5429562,0.12752318,0.20199746
26,shuffle,-1,240,0.40584502,0.4583135,0.13584153,0.2700035
26,unrelated,36,241,0.794986,0.17767793,0.027336076,0.76764995
26,unrelated_token,36,242,0.812261,0.16132115,0.026417864,0.78584313
27,orig,-1,243,0.9734394,0.01107038,0.015490247,0.95794916
27,paraphrase,-1,244,0.77824897,0.1407985,0.080952525,0.69729644
27,translate,-1,245,0.9549319,0.021852084,0.023216035,0.9317159
27,polarity,-1,246,0.99650013,0.0027582622,0.00074165163,0.9957585
27,vocab,-1,247,0.98413646,0.006290435,0.009573053,0.9745634
27,cat,-1,248,0.9629959,0.02169497,0.015309103,0.9476868
27,shuffle,-1,249,0.9875401,0.008057662,0.0044023176,0.9831378
27,unrelated,18,250,0.3073076,0.6017526,0.09093981,0.21636778
27,unrelated_token,18,251,0.42205322,0.5209117,0.057035077,0.36501813
28,orig,-1,252,0.84862596,0.028504552,0.12286957,0.7257564
28,paraphrase,-1,253,0.867923,0.031337455,0.10073955,0.7671835
28,translate,-1,254,0.46594203,0.08814844,0.44590947,0.020032555
28,polarity,-1,255,0.98667324,0.010993109,0.0023337207,0.98433954
28,vocab,-1,256,0.73818177,0.14960502,0.11221325,0.6259685
28,cat,-1,257,0.8468088,0.03133075,0.12186042,0.72494835
28,shuffle,-1,258,0.11572855,0.8551248,0.029146686,0.08658186
28,unrelated,194,259,0.9095169,0.074130975,0.016352141,0.89316475
28,unrelated_token,194,260,0.86006516,0.088334374,0.051600516,0.80846465
29,orig,-1,261,0.9901816,0.004457411,0.005360935,0.98482066
29,paraphrase,-1,262,0.9902767,0.0043460764,0.00537718,0.9848995
29,translate,-1,263,0.9860281,0.0063025253,0.0076694083,0.9783587
29,polarity,-1,264,0.993252,0.004333667,0.0024144056,0.9908376
29,vocab,-1,265,0.98743457,0.005186644,0.0073789093,0.98005563
29,cat,-1,266,0.9879579,0.005897605,0.006144528,0.9818134
29,shuffle,-1,267,0.9442066,0.017965099,0.03782839,0.9063782
29,unrelated,132,268,0.6219072,0.24786122,0.13023159,0.4916756
29,unrelated_token,132,269,0.5478498,0.29248315,0.15966709,0.3881827
30,orig,-1,270,0.75204945,0.2332017,0.014748798,0.73730063
30,paraphrase,-1,271,0.96188027,0.034000006,0.004119637,0.95776063
30,translate,-1,272,0.8416567,0.055513278,0.10283001,0.7388267
30,polarity,-1,273,0.9834658,0.015592589,0.0009416807,0.9825241
30,vocab,-1,274,0.35351804,0.61802465,0.028457263,0.32506078
30,cat,-1,275,0.51186526,0.4710921,0.017042628,0.49482262
30,shuffle,-1,276,0.7449595,0.23734887,0.017691698,0.7272678
30,unrelated,134,277,0.4277971,0.5399946,0.032208268,0.39558885
30,unrelated_token,134,278,0.42231184,0.53935444,0.03833372,0.38397813
31,orig,-1,279,0.8915371,0.009376997,0.09908585,0.7924512
31,paraphrase,-1,280,0.8139691,0.04696409,0.13906683,0.67490226
31,translate,-1,281,0.9691771,0.0058996025,0.024923293,0.94425386
31,polarity,-1,282,0.99576026,0.0029339746,0.0013057634,0.9944545
31,vocab,-1,283,0.97490996,0.004787167,0.020302888,0.95460707
31,cat,-1,284,0.90443635,0.007779192,0.08778441,0.81665194
31,shuffle,-1,285,0.8404654,0.044673726,0.114860855,0.7256046
31,unrelated,97,286,0.7628639,0.22227721,0.014858959,0.7480049
31,unrelated_token,97,287,0.8222426,0.16393772,0.01381974,0.80842286
32,orig,-1,288,0.9621771,0.026740804,0.011082102,0.951095
32,paraphrase,-1,289,0.9274104,0.05364019,0.018949378,0.90846103
32,translate,-1,290,0.6367821,0.34368593,0.019531967,0.61725014
32,polarity,-1,291,0.9903287,0.007717919,0.0019533022,0.9883754
32,vocab,-1,292,0.8633248,0.07315125,0.06352389,0.79980093
32,cat,-1,293,0.90792936,0.07125355,0.020817125,0.88711226
32,shuffle,-1,294,0.84288365,0.07940205,0.07771435,0.7651693
32,unrelated,87,295,0.9038601,0.084850505,0.011289377,0.89257073
32,unrelated_token,87,296,0.8942419,0.09522456,0.010533599,0.88370836
33,orig,-1,297,0.9516933,0.024247678,0.024058983,0.9276343
33,paraphrase,-1,298,0.5145342,0.4426907,0.042775147,0.47175902
33,translate,-1,299,0.29648903,0.6634345,0.04007648,0.25641257
33,polarity,-1,300,0.956286,0.024269706,0.019444209,0.9368418
33,vocab,-1,301,0.544007,0.16143756,0.29455546,0.24945155
33,cat,-1,302,0.9558844,0.021788603,0.022327095,0.9335573
33,shuffle,-1,303,0.93295705,0.031429097,0.035613835,0.8973432
33,unrelated,131,304,0.908461,0.031237982,0.060301058,0.8481599
33,unrelated_token,131,305,0.88972795,0.038335815,0.07193616,0.8177918
34,orig,-1,306,0.8631461,0.12795115,0.008902795,0.85424334
34,paraphrase,-1,307,0.56775457,0.4103384,0.021907005,0.54584754
34,translate,-1,308,0.95934534,0.031723935,0.008930687,0.95041466
34,polarity,-1,309,0.23988852,0.6980918,0.062019706,0.17786881
34,vocab,-1,310,0.3225083,0.6524397,0.025051987,0.29745632
34,cat,-1,311,0.5892346,0.39060295,0.020162499,0.56907207
34,shuffle,-1,312,0.960153,0.033502627,0.006344329,0.95380867
34,unrelated,24,313,0.17294858,0.75779384,0.069257624,0.10369096
34,unrelated_token,24,314,0.19153158,0.71414983,0.09431862,0.09721296
35,orig,-1,315,0.94857895,0.042853918,0.008567139,0.9400118
35,paraphrase,-1,316,0.9698729,0.024602514,0.0055245194,0.9643484
35,translate,-1,317,0.8951738,0.09972713,0.0050990237,0.8900748
35,polarity,-1,318,0.94837934,0.048139486,0.0034810458,0.9448983
35,vocab,-1,319,0.89657205,0.062064145,0.04136383,0.8552082
35,cat,-1,320,0.9124596,0.07573589,0.01180458,0.90065503
35,shuffle,-1,321,0.96657884,0.026113039,0.007308202,0.95927066
35,unrelated,170,322,0.014951203,0.9836944,0.0013544895,0.013596714
35,unrelated_token,170,323,0.012991712,0.9857603,0.0012479948,0.011743718
36,orig,-1,324,0.7011276,0.2691892,0.029683178,0.6714444
36,paraphrase,-1,325,0.97311944,0.020374741,0.0065058013,0.96661365
36,translate,-1,326,0.66735125,0.29190028,0.040748462,0.62660277
36,polarity,-1,327,0.99449086,0.004326379,0.0011827662,0.99330807
36,vocab,-1,328,0.8631929,0.07400222,0.062804885,0.80038804
36,cat,-1,329,0.7674085,0.20326854,0.029322958,0.7380855
36,shuffle,-1,330,0.8571468,0.13036112,0.012492064,0.84465474
36,unrelated,122,331,0.62770617,0.34061202,0.03168185,0.59602433
36,unrelated_token,122,332,0.5958534,0.37488365,0.029262966,0.5665904
37,orig,-1,333,0.53632426,0.12895274,0.33472303,0.20160124
37,paraphrase,-1,334,0.49633086,0.29570416,0.207965,0.28836584
37,translate,-1,335,0.09815254,0.056419328,0.8454281,-0.7472756
37,polarity,-1,336,0.9845708,0.011428967,0.0040002083,0.9805706
37,vocab,-1,337,0.36055753,0.06115928,0.5782832,-0.21772566
37,cat,-1,338,0.6348619,0.07989024,0.28524792,0.34961396
37,shuffle,-1,339,0.32096457,0.036028817,0.64300656,-0.322042
37,unrelated,113,340,0.9365104,0.047871854,0.015617789,0.9208926
37,unrelated_token,113,341,0.9118198,0.06330485,0.024875414,0.8869444
38,orig,-1,342,0.010915395,0.015110191,0.9739744,-0.963059
38,paraphrase,-1,343,0.07675294,0.05466569,0.8685813,-0.79182833
38,translate,-1,344,0.4054711,0.3625093,0.23201965,0.17345144
38,polarity,-1,345,0.048754763,0.019101964,0.9321433,-0.8833885
38,vocab,-1,346,0.084513515,0.039552707,0.8759337,-0.7914202
38,cat,-1,347,0.009052427,0.010898005,0.9800496,-0.97099715
38,shuffle,-1,348,0.26539207,0.121943675,0.6126642,-0.34727216
38,unrelated,226,349,0.7947286,0.09612947,0.109141916,0.6855867
38,unrelated_token,226,350,0.83000046,0.080749206,0.089250386,0.7407501
39,orig,-1,351,0.0025462247,0.9956162,0.0018375624,0.0007086623
39,paraphrase,-1,352,0.0015644988,0.9968464,0.001589136,-2.4637207e-05
39,translate,-1,353,0.0032160564,0.9938182,0.0029656647,0.00025039166
39,polarity,-1,354,0.029092181,0.9683527,0.0025551128,0.026537068
39,vocab,-1,355,0.020842515,0.7361604,0.24299711,-0.22215459
39,cat,-1,356,0.0025404475,0.9952992,0.002160265,0.0003801824
39,shuffle,-1,357,0.9799034,0.014183828,0.005912699,0.9739907
39,unrelated,41,358,0.52897966,0.44937786,0.021642542,0.5073371
39,unrelated_token,41,359,0.5428622,0.43641508,0.020722715,0.5221395
40,orig,-1,360,0.9962263,0.0029497156,0.00082392007,0.9954024
40,paraphrase,-1,361,0.9972512,0.0019289114,0.0008199492,0.9964313
40,translate,-1,362,0.9928076,0.0058517912,0.001340597,0.99146706
40,polarity,-1,363,0.9933791,0.0052742218,0.0013466188,0.99203247
40,vocab,-1,364,0.9678229,0.02102995,0.011147129,0.95667577
40,cat,-1,365,0.99540025,0.003307239,0.0012926062,0.99410766
40,shuffle,-1,366,0.98331684,0.013535107,0.0031480738,0.98016876
40,unrelated,138,367,0.7029121,0.14059126,0.15649666,0.54641545
40,unrelated_token,138,368,0.6877277,0.131063,0.1812093,0.50651836
41,orig,-1,369,0.6422061,0.23624,0.12155398,0.5206521
41,paraphrase,-1,370,0.8706157,0.059507072,0.06987722,0.8007385
41,translate,-1,371,0.8111973,0.14098215,0.047820605,0.76337665
41,polarity,-1,372,0.9518522,0.04253195,0.005615874,0.9462363
41,vocab,-1,373,0.7976428,0.08883998,0.11351715,0.68412566
41,cat,-1,374,0.5372577,0.29434574,0.16839655,0.36886114
41,shuffle,-1,375,0.70010996,0.17727499,0.12261507,0.57749486
41,unrelated,171,376,0.22156183,0.73123324,0.047204915,0.17435692
41,unrelated_token,171,377,0.24600485,0.7059543,0.048040792,0.19796406
42,orig,-1,378,0.7742341,0.20746852,0.018297365,0.75593674
42,paraphrase,-1,379,0.37745193,0.33311033,0.28943777,0.088014156
42,translate,-1,380,0.018585173,0.96824884,0.013165998,0.005419175
42,polarity,-1,381,0.64497983,0.24644083,0.10857931,0.53640056
42,vocab,-1,382,0.32222095,0.12875871,0.54902035,-0.2267994
42,cat,-1,383,0.74291706,0.23675591,0.020327032,0.72259
42,shuffle,-1,384,0.7994976,0.18640633,0.0140960915,0.7854015
42,unrelated,108,385,0.17823139,0.808983,0.012785567,0.16544582
42,unrelated_token,108,386,0.12357315,0.8656568,0.010770055,0.112803094
43,orig,-1,387,0.9863623,0.008943247,0.004694387,0.9816679
43,paraphrase,-1,388,0.9156019,0.07060364,0.013794489,0.9018074
43,translate,-1,389,0.52390903,0.45053655,0.02555442,0.4983546
43,polarity,-1,390,0.98621815,0.010838834,0.0029429854,0.9832752
43,vocab,-1,391,0.9895125,0.0049113473,0.0055761663,0.9839363
